Frames,Page Hit,Exec Time,Mode
16,0.854799,0.6299738883972168,rand
32,0.911293,0.5897557735443115,rand
48,0.934667,0.5470433235168457,rand
64,0.9480459999999999,0.5475990772247314,rand
80,0.956683,0.5411069393157959,rand
96,0.963069,0.550445556640625,rand
112,0.967573,0.5403311252593994,rand
128,0.97092,0.5433981418609619,rand
144,0.973774,0.5389418601989746,rand
160,0.976177,0.540473461151123,rand
176,0.97794,0.542245626449585,rand
192,0.979558,0.5359711647033691,rand
208,0.981046,0.5449204444885254,rand
224,0.982321,0.5324342250823975,rand
240,0.983403,0.5302398204803467,rand
256,0.984188,0.525458812713623,rand
272,0.98516,0.5229673385620117,rand
288,0.985763,0.520115852355957,rand
304,0.986391,0.5315299034118652,rand
320,0.987042,0.513878345489502,rand
336,0.987552,0.5225551128387451,rand
352,0.988247,0.5253512859344482,rand
368,0.988498,0.5353958606719971,rand
384,0.989002,0.5196478366851807,rand
400,0.989242,0.5195553302764893,rand
416,0.989718,0.5166177749633789,rand
432,0.989824,0.5252466201782227,rand
448,0.990319,0.5178983211517334,rand
464,0.990563,0.5276732444763184,rand
480,0.990658,0.517319917678833,rand
496,0.990955,0.5145015716552734,rand
512,0.991095,0.509789228439331,rand
16,0.891318,0.58990478515625,lru
32,0.932253,0.5645575523376465,lru
48,0.946193,0.5530083179473877,lru
64,0.958814,0.5655298233032227,lru
80,0.970374,0.5601143836975098,lru
96,0.973687,0.5593183040618896,lru
112,0.976469,0.5652933120727539,lru
128,0.97891,0.5509357452392578,lru
144,0.981235,0.5641500949859619,lru
160,0.983349,0.5446419715881348,lru
176,0.984799,0.5353951454162598,lru
192,0.986087,0.5438261032104492,lru
208,0.986995,0.5390264987945557,lru
224,0.987674,0.5367691516876221,lru
240,0.988248,0.5318777561187744,lru
256,0.98876,0.5351676940917969,lru
272,0.989332,0.5403213500976562,lru
288,0.989989,0.5402004718780518,lru
304,0.990696,0.5394728183746338,lru
320,0.991401,0.5434200763702393,lru
336,0.991904,0.5396578311920166,lru
352,0.992325,0.5423328876495361,lru
368,0.99263,0.5578000545501709,lru
384,0.992907,0.553272008895874,lru
400,0.993111,0.556016206741333,lru
416,0.993291,0.5559577941894531,lru
432,0.993478,0.5613291263580322,lru
448,0.993671,0.5673656463623047,lru
464,0.993819,0.5567417144775391,lru
480,0.993954,0.5765841007232666,lru
496,0.994071,0.5653872489929199,lru
512,0.994177,0.5681338310241699,lru
16,0.884794,0.6526556015014648,clock
32,0.9291510000000001,0.6384384632110596,clock
48,0.943757,0.6200883388519287,clock
64,0.958051,0.6076154708862305,clock
80,0.967718,0.6122751235961914,clock
96,0.971781,0.6000361442565918,clock
112,0.974368,0.5998551845550537,clock
128,0.9767710000000001,0.6058356761932373,clock
144,0.979647,0.6039812564849854,clock
160,0.981663,0.6061835289001465,clock
176,0.983578,0.5983221530914307,clock
192,0.985042,0.6060519218444824,clock
208,0.986123,0.6026313304901123,clock
224,0.986782,0.5966217517852783,clock
240,0.987563,0.5900430679321289,clock
256,0.988124,0.5881795883178711,clock
272,0.988751,0.6030359268188477,clock
288,0.989459,0.5967144966125488,clock
304,0.990109,0.6026406288146973,clock
320,0.990722,0.5958187580108643,clock
336,0.991195,0.603398323059082,clock
352,0.991636,0.6039645671844482,clock
368,0.992046,0.6023917198181152,clock
384,0.99244,0.609330415725708,clock
400,0.992695,0.6053850650787354,clock
416,0.992867,0.6046662330627441,clock
432,0.993093,0.7906327247619629,clock
448,0.993368,0.7744262218475342,clock
464,0.993536,0.9704699516296387,clock
480,0.993701,0.9770684242248535,clock
496,0.993801,1.0347974300384521,clock
512,0.993881,1.140636682510376,clock
